supplier_sap_name;Supplier_ID;Main_Point_of _Contact;Main_HACAT;Responsible_Buyer;Preferred_for_HACAT;available_for_gpe_code;Preferred_for_COUNTRY
ALS LLC;2330387;s.sergienko@awatera.com;CS5004;Yaremenko Natalia;CS2013 - STRATEGIC WORKFORCE PLANNING, OTHER HR PROJECTS,CS5036 - TRANSLATION,CS5004 - OFFICE PRODUCTS;RU;RU-RUSSIA
Medcon Translation Agency LLC;2291631;info@medconsult.ru;CS5036;Yaremenko Natalia;CS5036 - TRANSLATION;RU;RU-RUSSIA,BY-BELARUS
Kelly Services C-I-ES LLC;2024974;a.naumova@kellyservices.ru;CS2022;Fridrikh Maria;CS2022 - MANAGED SERVICES & ALL PMO (EXCLUDING CAPEX, DIGITAL AND R&D), USING STANDARD EBUY PROCESS,CS6006 - OUTSOURCED / SHARED SERVICES,CS2018 - COMPENSATION STUDIES & EMPLOYEE BENEFIT PLANS,CS4004 - APPLICATIONS - IT RECURRING SERVICES,CS2015 - RECRUITMENT & ASSESSMENT,CS2016 - OUTPLACEMENT;RU;RU-RUSSIA
Aeroclub Tour LLC;2061245;osipova@aeroclub-tour.ru;MK2003;Mikhailina Tatiana;MK2001 - EXTERNAL EVENTS - TECHNICAL PRODUCTION,MK2003 - EXTERNAL EVENTS - LOGISTIC AGENCY COSTS,MK2007 - EXTERNAL EVENTS - TRAVEL & GROUND TRANSPORTATION,MK2008 - EXTERNAL EVENTS - DIGITAL PROVIDERS,MK2009 - INTERNAL EVENTS - TECHNICAL PRODUCTION,MK2010 - INTERNAL EVENTS - LOGISTIC AGENCY COSTS,MK2011 - INTERNAL EVENTS - TRAVEL & GROUND TRANSPORTATION,MK2012 - INTERNAL EVENTS - HOTEL COSTS & CATERING,MK2013 - INTERNAL EVENTS - DIGITAL PROVIDERS,MK2014 - EXTERNAL EVENTS - HOTEL COSTS & CATERING;RU;RU-RUSSIA
Marken LLC;2284122;ilya.kurdyumov@marken.com;RD1050;Pakalo Grigroriy;RD1050 - CLINICAL TRIAL DISTRIBUTION,RD1033 - CLINICAL ANCILLARY SUPPLIES AND DEVICES;RU;RU-RUSSIA
JSC DSM Group;2045351;akazenova@continent.ru;MK2003;Mikhailina Tatiana;MK2003 - EXTERNAL EVENTS - LOGISTIC AGENCY COSTS,MK2009 - INTERNAL EVENTS - TECHNICAL PRODUCTION,MK2010 - INTERNAL EVENTS - LOGISTIC AGENCY COSTS,MK2008 - EXTERNAL EVENTS - DIGITAL PROVIDERS,MK2007 - EXTERNAL EVENTS - TRAVEL & GROUND TRANSPORTATION,MK2011 - INTERNAL EVENTS - TRAVEL & GROUND TRANSPORTATION,MK2012 - INTERNAL EVENTS - HOTEL COSTS & CATERING,MK2013 - INTERNAL EVENTS - DIGITAL PROVIDERS,MK2014 - EXTERNAL EVENTS - HOTEL COSTS & CATERING,MK2001 - EXTERNAL EVENTS - TECHNICAL PRODUCTION,CS2008 - INDIVIDUAL HOTEL AND OTHER LODGINGS;RU;RU-RUSSIA
Asatiani Alisa Zurabovna;2323267;;;;[];RU;[]
PatisS LLC;2216839;korkina_e@patiss.ru;MK1013;Mikhailina Tatiana;MK1012 - CREATIVE AGENCIES SERVICES (STRATEGY, CREATION AND ORIGINATION FOR TRADITIONAL AND DIGITAL),MK1013 - DIGITAL MARKETING SERVICES,MK1014 - PRODUCTION AND ADAPTATION FOR TRADITIONAL (TV, RADIO, OOH, PRINT AND DIGITAL);RU;RU-RUSSIA
LTD ABC Pharmalogistics;2295663;cto@gepha.com;RD1050;Pakalo Grigroriy;RD1049 - COMPARATOR,RD1050 - CLINICAL TRIAL DISTRIBUTION,RD1033 - CLINICAL ANCILLARY SUPPLIES AND DEVICES;RU;RU-RUSSIA
MedZnania LLC;2061557;;;;[];RU;[]
