Event #;Event Name;Creator;Commodity;Type;Items;Base Price;участники;победитель;Winners Price;Column1
49421;Вторичная упаковка Санофи Восток 2025/Secondary paper packaging Sanofi Vostok_2025;Sergey Levin;CD3001;RFP;"Пачка Дупиксент  200/300; Bravo GC2 295 g/m2 ; Инструкция Дупиксент 200/300; OP Polar Bright 40 g/m2; BOX TOUJEO SOLOSTAR 5 FULL SER;  AllyKing GC2 325 g/m2; BOX TOUJEO SOLOSTAR 3 FULL SER;  AllyKing GC2 325 g/m2; BOX SOLIQUA SS 0.05 MG/3ML X3 EAEU (PEA);  AllyKing GC2 325 g/m2; BOX SOLIQUA SS 0.033 MG/3ML X3 EAEU;  AllyKing GC2 325 g/m2; Box Lantus SoloStar SER;  AllyKing GC2 325 g/m2; Box Apidra SoloStar Full;  AllyKing GC2 325 g/m2; Инструкция Туджео СолоСтар; OP Polar Bright 40 g/m2; Инструкция Соликва СолоСтар (Оливковая); OP Polar Bright 40 g/m2; Инструкция Соликва СолоСтар (Персиковая); OP Polar Bright 40 g/m2; Инструкция Апидра СолоСтар; OP Polar Bright 40 g/m2; Инструкция Лантус СолоСтар; OP Polar Bright 40 g/m2";700,000.00 EUR;"АР Пэкэджинг, АО; Премиум Стандарт, ООО; Промис, АО; ССЛ-Контур, ООО; ПД Ависс, ООО; Типография ПЕЧАТНЯ, ООО";Промис, АО;;
46247;Бумажная упаковка Санофи Восток/Secondary paper packaging Sanofi Vostok;Sergey Levin;CD3001;RFQ;"Пачки СолоСтар; EMAMI MaxoFold HB (Avanta Pro) GC2 330 g/m2; Пачки СолоСтар;  AllyKing GC2 325 g/m2; Пачки СолоСтар; Кама Pharma GC1 325; Пачки СолоСтар; Кама Pharma GC1 295; Инструкция Туджео СолоСтар; OP Polar Bright 40 g/m2; Инструкция Соликва СолоСтар; OP Polar Bright 40 g/m2; Инструкция Апидра СолоСтар; OP Polar Bright 40 g/m2; Инструкция Лантус СолоСтар; OP Polar Bright 40 g/m2; Инструкция Пралуэнт 300 мг/мл; OP Polar Bright 40 g/m2; Инструкция Дупиксент 200/300; OP Polar Bright 40 g/m2; Инструкция Дупиксент 200/300; OP Polar Bright 40 g/m2; Инструкция Туджео СолоСтар; Гознак 45 g/m2; Инструкция Соликва СолоСтар; Гознак 45 g/m2; Инструкция Апидра СолоСтар; Гознак 45 g/m2; Инструкция Пралуэнт 300 мг/мл; Гознак 45 g/m2; Гознак 45 g/m2; Инструкция Лантус СолоСтар; Инструкция Дупиксент 200/300; Гознак 45 g/m2; Инструкция Дупиксент 200/300; Гознак 45 g/m2; Пачка Дупиксент  200 / 300; Bravo GC2 295 g/m2 (ложемент 250 g/m2); Пачка Пралуэнт 300; Bravo GC2 325 g/m2 (ложемент 270 g/m2); Пачка Дупиксент  200 / 300; Кама Pharma GC1 295; Пачка Пралуэнт 300; Кама Pharma GC1 295";500,000.00 EUR;"Промис, АО; Премиум Стандарт, ООО; АР Пэкэджинг, АО";Премиум Стандарт, ООО;;
46539;RFP-RUS-Distribution Tender;Grigoriy Pakalo;CD5002;RFP;"Ambient sq. m price for 365 days; Cold sq. m price for 365 days; Office sq. m price for 365 days; Operational Costs per 1 pack (In); Operational Costs per 1 pack (Out)";57,407,889.25 RUB;"Dominanta; NC Logistic; KCE; Tablodgix";Dominanta;54000000 RUB;
42044;Local transportations Russia 2024 (including Government contracts);Grigoriy Pakalo;CD5003;RFQ;"Kharitonovo - WH Sanofi Russia, Reefer 33 pal (82 m3); Kirov - WH Sanofi Russia, Reefer 33 pal (82 m3); Orel - WH Sanofi Russia, Reefer 33 pal (82 m3); WH Sanofi Russia - Orel, Reefer 33 pal (82 m3); WH Sanofi Russia - Orel - WH Sanofi Russia, Reefer 33 pal (82 m3) (round Trip); Москва - Дальневосточный ФО (авиа, 80L/57L/32L термоконтейнер); Москва - Приволжский ФО (авиа, 80L/57L/32L термоконтейнер); Москва - Северо-Западный ФО (авиа, 80L/57L/32L термоконтейнер); Москва - Северо-Кавказский ФО (авиа, 80L/57L/32L термоконтейнер); Москва - Сибирский ФО (авиа, 80L/57L/32L термоконтейнер); Москва - Уральский ФО (авиа, 80L/57L/32L термоконтейнер); Москва - Центральный ФО (авиа, 80L/57L/32L термоконтейнер); Москва - Южный ФО (авиа, 80L/57L/32L термоконтейнер); Москва - Дальневосточный ФО (авто, 80L/57L/32L термоконтейнер); Москва - Приволжский ФО (авто, 80L/57L/32L термоконтейнер); Москва - Северо-Западный ФО (авто, 80L/57L/32L термоконтейнер); Москва - Северо-Кавказский ФО (авто, 80L/57L/32L термоконтейнер); Москва - Сибирский ФО (авто, 80L/57L/32L термоконтейнер); Москва - Уральский ФО (авто, 80L/57L/32L термоконтейнер); Москва - Центральный ФО (авто, 80L/57L/32L термоконтейнер); Москва - Южный ФО (авто, 80L/57L/32L термоконтейнер)";7,495,000.00 RUB;"Biocard; Corex; Dominanta; FM Logistics; Mosotdelprom; NC Logistic; ORFE; Pochta RF; Santens; Tablodgix; TEST; Pony Express; KCE; Major-express; DPD; CDEK";Pony Express;7,378,213.00 RUB;
36302;Local Logistics 2023;Grigoriy Pakalo;CD5003;English auction;"Orel - WH Sanofi Russia, Reefer 33 pal (82 m3); Orel - WH Sanofi Russia - Orel (round trip), Reefer 33 pal (82 m3); WH Sanofi Russia - Orel, Reefer 33 pal (82 m3) - copy; Moscow Customs - WH Sanofi Russia, Reefer 33 pal (82 m3) - copy; Moscow Customs - WH Sanofi Russia, Reefer 6 pal lorry; Kirov - WH Sanofi Russia, Reefer 33 pal (82 m3); Moscow Airport (Domodedovo/Vnokovo) - WH Sanofi Russia, Reefer 33 pal (82 m3); Moscow Airport (Domodedovo/Vnokovo) - WH Sanofi Russia, Reefer 6 pal lorry; Orel - Ufa, Reefer 33 pal (82 m3); Moscow Airport (Domodedovo) - Ufa, Reefer 6 pal lorry; Moscow Customs - Orel, Reefer 33 pal (82 m3); Krasnodar - Orel, Reefer 33 pal (82 m3); Moscow Airport (Domodedovo) - Orel, Reefer 33 pal (82 m3); Kharitonovo - WH Sanofi Russia, Reefer 33 pal (82 m3)";12,979,000.00 RUB;"Asstra; Biocard; Corex; Dominanta; Major; Major Cargo Service; Monopoly; RTA; UnoTrans; Major Cargo Service; Dominanta";Dominanta;1,277,000.00 RUB;
49198;Local transportations Russia 2024 (including Government contracts);Igor Firsov;CD5003;RFQ;"Kharitonovo - WH Sanofi Russia, Reefer 33 pal (82 m3); Kirov - WH Sanofi Russia, Reefer 33 pal (82 m3); Orel - WH Sanofi Russia, Reefer 33 pal (82 m3); WH Sanofi Russia - Orel, Reefer 33 pal (82 m3); WH Sanofi Russia - Orel - WH Sanofi Russia, Reefer 33 pal (82 m3) (round Trip); Москва - Дальневосточный ФО (авиа, 80L/57L/32L термоконтейнер); Москва - Приволжский ФО (авиа, 80L/57L/32L термоконтейнер); Москва - Северо-Западный ФО (авиа, 80L/57L/32L термоконтейнер); Москва - Северо-Кавказский ФО (авиа, 80L/57L/32L термоконтейнер); Москва - Сибирский ФО (авиа, 80L/57L/32L термоконтейнер); Москва - Уральский ФО (авиа, 80L/57L/32L термоконтейнер); Москва - Центральный ФО (авиа, 80L/57L/32L термоконтейнер); Москва - Южный ФО (авиа, 80L/57L/32L термоконтейнер); Москва - Дальневосточный ФО (авто, 80L/57L/32L термоконтейнер); Москва - Приволжский ФО (авто, 80L/57L/32L термоконтейнер); Москва - Северо-Западный ФО (авто, 80L/57L/32L термоконтейнер); Москва - Северо-Кавказский ФО (авто, 80L/57L/32L термоконтейнер); Москва - Сибирский ФО (авто, 80L/57L/32L термоконтейнер); Москва - Уральский ФО (авто, 80L/57L/32L термоконтейнер); Москва - Центральный ФО (авто, 80L/57L/32L термоконтейнер); Москва - Южный ФО (авто, 80L/57L/32L термоконтейнер)";19,768,550.00 RUB;"Biocard Logistics; ООО Сияние ТК; Major Cargo Service";Major Cargo Service;15,262,700.00 RUB;
50255;Sanofi Cross Border Transportation Tender Annual;Igor Firsov;CD5006;RFQ;"Frankfurt to Oryol 4 pal +15+25C ADR; Frankfurt to Oryol 8 pal +15+25C ADR; Frankfurt to Oryol 4 pal +2+8C; +15+25C; no ref; Frankfurt to Oryol 8 pal +2+8С; +15+25C; no ref; Oryol to Frankfurt DAP 82m3 no ref; Frankfurt to Oryol BY AIR package 43х39х45cm; ESCHWEILER to Oryol 15 pal no ref; ESCHWEILER to Oryol 82m3 ref +15+25C; ESCHWEILER to Oryol 82m3 no ref; Waldkirch to Oryol 15 pal +15+25C; Waldkirch to Oryol 82m3 ref +15+25C; Waldkirch to Oryol 82m3 no ref; ST. GALLEN to Oryol 15 pal no ref; ST. GALLEN to Oryol 82m3 ref +15+25C; ST. GALLEN to Oryol 82m3 no ref; Lukácsháza to Oryol 15 pal +15+25C; Lukácsháza to Oryol 82m3 +15+25C; Lukácsháza to Oryol 82m3 no ref; Münnerstadt+Münchendorf to Oryol 82m3 ref +15+25C; Münnerstadt to Oryol 82m3 ref +15+25C; Bonneuil sur Marne to Oryol 82m3 ref +15+25C";387,400.00 EUR;"eTrans JSC; RTL Alliance; АО РТА Эйр энд Си; TELS Global; КСЕ; Vlantana; Everwest; AsstrA; ООО Корекс; ООО Мэйджор Карго Сервис; Таглекс";RTL Alliance;149,400.00 EUR;
47076;RFP Brokerage Services (13.08.2024);Alina Popova;CD5008;RFP;"Декларация на товар (коды указаны в описании); Декларация соответствия на алл.колпачки; ЭЦП; Поддержка при подготовке к подаче ДТ, определение кода, отчёт для камеральной проверки и помощь по иным запросам таможни";2,610,000.00 RUB;"Экспресс Брокер; Вектор Лоджистикс; Руста Брокер; КОРЕКС; ЦОЛЛРУ; KCE";Вектор Лоджистикс;4,310,000.00 RUB;
43099;Mail Express #1 (12.02.2024);Stanislav Ekhnev;CD5011;English auction;"Стоимость одного сотрудника почтовой комнаты за 1 месяц (без НДС); Доставка по направлениям Москва - Москва; Москва - Санкт-Петербург; Санкт-Петербург - Москва; Москва - Самара; Москва - Новосибирск; Москва - Нижний Новгород; Ростов-на-Дону - Москва";8,500,000.00 RUB;"Pony Express; KCE; KD (Курьер Дисконт); СДЭК; Major Express; City Express; ExMail; DHL; АО «ДПД РУС»; АО «Почта России»; KD (Курьер Дисконт) 2";Pony Express;4,497,705.87 RUB;
39822;eAuction Russia_Telematics_2024-2026;Irina Bakhareva;CS2001;English auction;"Общая стоимость аренды оборудования за 12 месяцев в рамках заданного объема в 862 авто, руб. без НДС; Общая стоимость демонтажа в рамках заданного объема в 902 авто, руб. без НДС; Общая стоимость установки оборудования в рамках заданного объема в 902 авто, руб. без НДС; Общая стоимость обслуживания за 12 месяцев в рамках заданного объема в 862 авто, руб. без НДС";12,000,000.00 RUB;"ООО Современные технологии мониторинга; 	ООО СИТИПОИНТ; Метателематикс";ООО Современные технологии мониторинга;7,741,112.00 RUB;
